Date	GILD	MDLZ	FISV	HPFK	IRCS	TCMU	XFMM	GVVV	MHDZ	GIHF	NQYU	DUIR	BQYN	PDSZ	BSNG	IKCC	XQXR	HNNY	DLFB	PHBP	HGHJ	JMYS	KQDY	TSII	OJQO	KDOC	FBTB	LGHQ	WAAI	VGYC	OPYH	PMHG	CWZD	DQZO	RLTP	CLYY	PJRF	TUWV	TXHL	OCKA	YWNZ	MXAI	GGZS	OEGR	MRIJ	IAZR	RXKH	FOCE	QUUT	CZHB	KAVI	IPZI	AVGO	CHTR	IDNA	UGUF	QCOM	SBUX	TMUS	COST	EHLW	PEP	HGRW	RLLE	CMCSA	PYPL	VYFU	ADBE	INTC	TZFN	OBDC	AAPL	TSLA	XTXR	MSFT	DRSH	META	YRIG	GOOG	OAAR	TLRC	CWHU	AMZN	YYBM	NFLX	AJLW	NVDA	CSCO	PBGQ	LWMB	XSRP	XTLJ	FATP	YERP	MFOP	ATQP	XWQP	TXN	RKPP	LAFL
2020-01-11	12.73	63.36	33.32	45.41	76.18	37.32	87.67	54.01	71.75	65.88	18.70	44.49	18.22	21.05	102.19	36.84	22.17	21.68	59.73	98.79	44.13	21.83	83.47	50.45	96.28	16.64	12.02	69.28	92.13	76.43	75.77	84.24	64.93	63.96	65.23	56.24	30.48	105.37	68.49	101.42	83.99	54.93	53.62	62.19	21.51	41.68	89.43	73.25	73.06	14.95	83.73	49.91	81.39	100.84	99.25	38.01	56.26	52.78	21.85	76.35	40.97	101.50	18.35	100.91	29.24	20.02	100.69	22.90	98.77	62.85	33.58	30.63	29.79	34.88	78.69	80.12	83.82	13.52	72.23	30.87	101.58	67.46	82.53	65.51	64.28	34.14	41.85	115.31	41.13	88.32	86.23	75.10	21.83	67.14	66.39	32.41	42.82	99.69	42.24	38.92
2020-01-12	12.62	63.25	32.40	44.07	76.83	37.19	87.22	53.44	73.56	71.73	18.82	44.75	18.01	21.14	101.63	37.16	22.19	21.97	62.30	99.36	42.34	21.79	82.48	51.01	96.55	16.99	12.07	69.28	89.53	79.06	73.24	80.67	66.18	64.47	66.14	57.59	29.58	109.06	68.12	99.50	82.55	54.23	53.47	62.96	21.23	42.12	87.65	72.15	73.02	14.76	86.19	49.44	81.94	99.12	97.42	38.92	55.37	52.79	22.58	74.41	40.69	100.91	18.19	102.73	29.72	20.07	100.96	23.64	100.50	61.01	34.24	29.62	28.54	34.77	78.71	79.76	84.93	13.10	71.71	31.49	100.75	68.30	81.36	65.51	63.63	34.53	41.40	112.60	42.86	89.05	85.72	74.61	21.63	66.75	65.81	32.62	43.53	99.16	42.38	39.41
2020-01-13	12.57	62.62	33.28	44.21	76.27	36.11	86.63	53.27	74.36	72.86	18.94	44.40	18.33	21.11	101.07	37.85	22.39	22.37	62.13	99.59	43.73	22.46	82.68	51.03	95.02	17.08	11.99	69.86	88.01	76.66	74.80	83.49	68.88	66.45	67.45	57.90	30.41	105.10	69.91	99.21	81.18	52.90	54.57	61.37	20.86	42.42	88.88	72.51	74.36	14.86	86.03	49.86	82.62	99.74	98.71	39.38	55.98	53.71	23.29	73.88	40.98	104.36	18.23	104.91	28.82	19.44	103.08	23.84	99.11	60.17	34.50	30.61	29.36	34.72	78.24	79.76	83.70	12.82	72.70	31.44	99.95	66.03	80.12	66.32	62.21	34.98	41.86	111.06	42.44	89.25	88.36	75.59	20.94	68.41	64.71	33.26	43.13	98.16	41.40	39.60
2020-01-14	12.43	63.53	32.13	44.69	76.53	37.33	87.77	52.55	74.05	72.44	19.14	43.81	18.03	20.91	100.02	37.38	22.34	22.19	64.41	99.31	44.69	21.86	82.56	50.80	96.26	17.48	12.07	70.44	89.62	78.84	74.63	84.31	66.32	76.25	65.81	57.53	29.61	102.35	67.48	98.16	80.88	51.29	53.17	62.92	21.14	41.86	88.20	72.19	74.48	14.49	89.80	51.30	79.27	100.79	99.22	39.03	57.41	53.59	23.48	71.54	41.14	105.75	18.41	104.58	28.60	18.82	104.42	23.15	96.49	57.81	34.83	31.74	30.30	34.56	78.04	80.79	82.42	12.39	72.11	31.27	98.64	68.44	81.02	66.57	62.07	34.68	42.24	113.69	44.01	88.44	89.61	74.50	21.70	70.16	65.18	34.14	43.68	98.42	41.62	41.01
2020-01-15	12.51	64.35	31.73	44.35	76.09	36.28	87.61	52.27	75.17	73.48	18.99	44.24	18.48	21.12	98.52	36.51	22.24	22.65	63.96	98.60	44.69	22.34	81.84	51.24	98.04	17.59	12.34	70.22	88.90	81.52	73.00	87.11	63.86	74.71	66.60	56.11	28.68	101.31	67.49	99.57	80.98	51.49	53.93	64.65	21.46	41.94	91.65	72.71	71.54	14.69	87.25	49.95	78.19	99.05	100.56	39.20	58.12	53.81	22.99	73.88	40.52	109.58	18.07	102.51	27.91	18.69	101.65	23.27	98.41	56.12	35.84	31.29	30.00	34.43	77.94	80.85	81.81	12.68	71.86	30.31	96.16	70.06	83.26	67.21	62.85	34.56	42.63	115.67	42.33	87.02	86.43	74.21	22.20	68.84	64.66	34.47	43.59	99.44	41.70	40.22
2020-01-16	12.45	63.49	32.27	44.61	75.30	36.71	87.17	51.91	74.06	72.72	19.02	44.00	18.33	20.96	98.30	36.27	22.30	22.63	66.20	97.53	45.24	22.32	82.17	51.58	100.35	17.84	12.20	69.32	90.49	78.70	71.27	84.54	63.23	76.06	67.18	56.02	28.48	104.80	69.63	100.11	82.71	50.44	53.15	65.52	21.64	41.38	92.78	71.76	70.56	14.58	85.03	50.16	81.76	99.60	99.97	38.21	59.69	54.62	22.72	75.07	40.56	105.80	17.83	100.35	27.28	18.61	99.31	23.88	95.97	54.86	35.51	30.44	29.19	34.02	77.31	80.30	80.77	12.48	72.26	30.05	94.30	70.98	81.70	67.15	62.11	33.92	43.06	113.42	40.77	88.22	83.83	74.98	22.67	70.13	63.70	35.13	43.25	100.94	41.37	40.30
2020-01-17	12.51	63.95	32.30	45.24	74.97	35.56	85.99	52.29	74.80	73.45	18.84	43.92	18.51	20.94	99.19	36.59	22.14	22.40	66.87	96.52	47.11	22.89	82.46	51.89	96.45	17.95	12.51	68.93	90.31	81.19	73.73	87.34	65.01	77.19	67.81	55.36	28.64	106.89	68.04	101.08	85.40	52.27	53.68	66.48	21.68	42.04	96.02	71.69	68.35	14.14	84.79	49.41	80.17	101.44	101.05	39.15	60.41	55.23	23.16	75.26	40.44	103.40	18.10	99.18	26.69	18.79	101.88	24.14	93.95	56.87	35.06	29.34	28.96	34.08	77.16	81.53	81.20	12.25	71.72	30.61	92.52	69.77	81.58	67.34	60.39	33.93	43.68	115.75	40.16	87.06	86.44	74.79	22.46	69.18	63.77	35.42	42.69	100.98	40.36	39.03
2020-01-18	12.61	63.73	31.05	46.03	75.47	35.16	85.83	52.54	73.14	72.82	18.69	44.10	18.82	20.83	100.68	37.25	21.97	21.69	68.79	95.99	46.04	22.83	81.38	51.93	97.91	17.33	12.16	68.87	90.94	80.13	73.79	87.88	64.02	79.84	68.18	56.02	28.35	104.66	69.77	103.39	83.93	51.71	52.71	63.89	21.86	41.60	98.61	71.45	68.91	13.72	82.08	47.97	81.18	101.09	99.16	38.32	60.13	56.28	22.71	76.38	40.37	93.79	17.78	97.37	26.87	18.51	102.57	24.72	96.32	59.20	35.47	28.84	28.25	34.06	76.36	81.49	82.00	11.70	72.16	30.79	93.12	72.35	81.17	66.74	61.84	34.52	43.33	118.79	39.71	86.70	87.55	74.44	22.41	70.12	61.98	36.36	43.51	101.92	39.37	38.92
2020-01-19	12.76	64.16	31.62	46.10	75.18	34.73	86.44	52.71	73.68	71.77	18.87	43.78	18.74	20.66	99.67	36.55	22.11	21.55	67.64	96.70	47.52	22.19	81.44	51.64	97.28	17.05	11.98	67.82	89.21	81.41	75.17	86.20	61.33	82.61	67.59	55.70	28.48	106.20	67.19	103.48	81.94	52.89	52.69	66.69	21.96	41.33	102.19	70.47	68.58	13.36	82.68	49.03	77.87	102.64	99.83	38.87	59.63	55.99	22.96	77.54	41.14	98.14	17.97	97.50	26.40	18.84	100.06	24.99	94.26	56.95	36.55	28.13	28.21	33.86	76.54	81.77	82.34	11.44	72.90	30.49	91.20	75.41	83.15	65.66	60.42	34.05	43.64	124.35	40.59	86.94	87.40	75.39	22.98	68.77	61.33	37.01	42.39	101.83	40.11	40.25
2020-01-20	12.90	63.96	30.33	48.18	75.21	35.27	85.89	53.18	75.08	72.13	18.85	43.35	18.97	20.67	99.74	36.21	22.12	20.65	68.32	95.91	46.33	22.56	82.21	52.42	94.15	17.53	12.30	66.90	87.40	82.27	77.37	84.06	59.33	82.37	68.76	56.25	29.01	104.95	64.95	100.80	84.78	51.97	53.56	67.83	21.62	40.99	101.02	70.95	69.52	12.98	80.29	49.83	80.63	102.91	101.20	38.91	59.94	56.38	23.29	76.51	40.81	96.75	17.68	96.40	27.29	19.23	102.77	25.23	96.75	56.59	37.17	27.08	28.03	33.84	75.70	82.76	81.54	11.49	73.08	29.64	87.87	77.22	81.82	58.15	61.32	34.13	44.22	127.77	41.50	86.55	87.34	76.18	22.43	70.56	60.66	36.88	42.58	101.64	39.08	39.26
2020-01-21	13.09	63.04	30.59	48.06	74.32	36.62	86.06	52.50	75.89	73.79	18.62	43.72	19.36	20.84	99.46	36.66	22.09	21.32	66.37	94.76	47.24	22.32	81.87	52.46	98.16	17.36	12.18	67.12	84.33	81.94	79.18	82.05	59.37	80.57	68.85	56.79	29.51	104.96	67.20	103.03	83.24	52.13	53.86	69.47	21.63	40.93	101.29	70.20	72.03	13.35	80.39	50.27	84.43	103.85	101.20	38.19	58.94	56.25	22.87	77.09	40.86	99.24	17.46	96.69	27.12	18.90	105.48	27.81	94.24	55.02	36.08	25.99	29.26	33.91	74.90	82.13	81.79	11.95	72.97	30.54	86.44	74.00	83.82	57.47	61.33	34.07	43.80	127.56	42.57	87.49	86.27	75.70	21.82	71.25	62.34	36.42	42.37	100.71	39.99	40.08
2020-01-22	13.24	63.77	29.78	47.00	74.95	36.97	87.35	52.01	75.26	74.47	18.68	43.22	19.46	20.87	99.86	36.58	22.23	21.19	68.25	95.48	45.10	23.29	81.02	53.56	96.94	17.19	12.55	66.92	84.46	81.75	81.12	80.85	62.24	77.53	67.81	57.75	29.08	104.16	65.20	102.99	83.64	52.55	53.61	68.79	22.00	40.65	104.38	70.92	69.45	13.21	83.71	51.13	83.00	104.42	99.11	38.53	58.42	56.84	22.67	77.16	40.60	102.98	17.78	98.01	26.46	18.68	106.31	27.78	94.20	54.54	37.33	25.23	28.82	33.59	74.75	81.68	82.06	11.63	73.36	30.23	87.61	74.98	84.01	57.82	62.88	33.37	43.53	132.71	42.63	88.52	87.61	76.89	21.49	70.87	60.79	36.39	42.40	99.77	40.02	38.93
2020-01-23	13.42	64.60	30.94	45.51	74.14	37.73	87.17	52.65	76.15	73.60	18.85	43.18	19.41	20.78	99.56	36.75	22.23	20.61	71.18	94.84	45.26	22.42	80.19	53.02	95.42	17.41	12.60	66.44	87.46	84.28	80.73	81.60	61.16	76.38	69.27	58.80	28.69	104.42	65.02	104.51	82.19	50.84	53.45	71.81	22.31	40.30	105.85	71.70	68.48	13.17	81.40	50.92	85.34	104.09	100.49	37.65	58.11	56.56	22.43	74.65	40.83	100.15	17.85	96.13	27.35	17.81	109.30	27.73	94.90	54.72	37.30	25.75	29.57	33.62	74.01	81.71	81.22	11.98	73.84	30.96	86.34	77.03	82.58	56.80	62.78	33.45	44.00	136.74	41.53	88.79	85.47	78.04	21.72	72.27	59.31	35.67	43.56	100.39	41.04	40.08
2020-01-24	13.30	64.08	30.09	46.99	73.38	38.72	88.27	52.36	74.49	74.05	18.78	43.65	19.49	20.69	99.91	36.34	21.95	20.91	71.11	96.29	44.73	22.10	80.79	53.50	94.58	17.69	12.26	66.99	88.73	84.19	79.25	79.52	62.68	79.55	69.19	60.47	27.99	106.74	64.86	103.95	79.54	50.11	53.83	71.93	22.08	40.19	102.92	70.77	70.37	13.47	80.88	51.91	82.93	104.09	101.60	37.53	58.39	56.92	22.74	76.21	40.25	101.09	17.54	96.31	28.19	17.72	113.01	26.92	94.88	54.04	37.81	25.32	29.74	33.72	74.24	81.28	81.67	11.66	73.51	31.82	86.41	75.20	81.54	56.72	61.43	33.50	43.50	140.07	40.08	88.04	87.83	77.28	21.36	73.15	57.88	36.81	42.51	101.17	40.91	39.17
2020-01-25	13.15	63.23	29.96	46.25	72.57	38.41	86.74	52.78	75.29	74.30	18.83	43.89	19.45	20.88	100.83	36.47	21.98	20.79	69.81	95.13	45.38	21.21	81.12	53.24	95.18	18.27	12.27	66.89	86.52	81.29	81.67	79.67	59.99	77.05	68.32	59.23	28.32	104.48	63.47	103.10	78.17	49.21	54.90	71.71	22.25	39.69	103.98	71.95	69.40	13.72	81.51	52.81	81.80	102.63	103.65	37.60	58.95	56.89	22.21	77.70	40.42	103.05	17.60	98.16	28.53	17.68	112.71	26.64	95.71	53.37	37.43	25.56	29.21	33.78	74.70	81.84	81.17	11.91	73.99	31.16	86.63	77.94	79.95	55.73	61.89	33.65	43.79	135.27	39.31	86.80	85.17	76.96	21.06	72.84	58.81	36.60	43.27	101.16	40.43	39.67
2020-01-26	13.20	63.25	30.67	47.28	72.91	39.56	87.55	52.84	74.83	75.42	19.03	44.05	19.04	20.81	101.99	36.59	21.83	21.74	68.92	95.91	46.28	21.50	80.14	53.60	95.05	18.77	12.22	66.26	85.95	84.05	82.13	76.39	59.78	77.58	67.24	60.23	28.30	105.11	64.25	101.55	80.89	48.74	53.96	71.12	22.37	39.88	103.03	72.01	70.72	14.06	80.74	53.20	83.84	104.27	101.50	36.99	58.78	56.11	22.02	77.81	40.47	103.60	17.30	96.19	29.30	17.69	113.08	27.46	96.99	53.08	35.89	25.50	28.22	33.41	74.85	80.60	82.31	12.08	74.31	32.08	83.08	76.66	81.26	56.59	60.20	33.95	43.42	139.50	38.96	86.27	85.93	76.43	20.39	73.77	58.98	35.66	43.74	101.52	39.46	38.68
2020-01-27	13.29	63.79	31.19	45.43	73.71	40.00	86.82	52.40	75.56	75.17	18.98	44.40	19.17	20.92	102.33	37.55	22.10	22.41	67.75	96.42	47.31	22.04	81.17	54.74	93.57	18.25	12.39	66.40	89.26	84.75	83.11	76.31	62.28	75.64	66.30	60.36	28.97	103.70	66.01	98.83	82.35	47.27	52.53	72.53	22.04	39.90	102.56	71.02	67.86	14.13	82.44	53.17	82.19	105.02	99.29	36.33	58.22	56.66	21.77	75.41	41.22	106.38	17.27	97.61	28.43	17.77	117.22	27.37	97.85	54.91	35.81	26.39	28.11	33.22	75.69	80.97	81.39	11.93	73.63	31.39	84.90	74.45	80.49	56.16	61.02	33.54	43.30	134.44	40.61	87.31	83.33	75.87	20.99	74.81	59.12	36.20	43.28	101.69	40.13	38.21
2020-01-28	13.27	63.74	30.40	44.37	74.39	39.20	87.30	52.15	77.20	73.78	18.79	44.71	19.37	20.99	103.86	37.90	22.28	22.67	68.16	95.86	48.31	22.06	81.04	55.87	95.82	18.48	12.55	66.90	87.52	87.77	85.43	79.03	61.14	79.02	65.77	62.12	29.32	104.18	63.62	97.70	81.89	46.72	52.02	71.86	22.00	40.05	103.20	71.26	68.17	14.29	83.82	54.84	80.33	104.73	99.69	36.92	58.09	56.21	22.56	77.22	41.46	101.96	17.25	97.06	29.48	17.85	118.29	27.77	97.80	50.87	34.29	26.66	27.35	33.35	76.45	80.99	80.55	12.08	74.28	31.74	84.54	72.79	81.05	57.18	60.31	33.69	43.06	136.25	40.62	88.50	85.08	75.68	20.62	75.49	59.96	37.41	42.24	101.79	40.57	38.03
2020-01-29	13.49	62.88	30.73	43.13	75.48	40.23	85.71	52.59	79.45	75.17	18.55	45.14	19.23	20.87	103.83	37.07	22.19	23.71	66.72	96.04	46.18	22.65	81.14	56.12	98.44	18.93	12.61	66.72	88.20	88.52	84.40	80.80	58.88	76.39	66.92	61.55	29.17	103.03	64.58	100.43	83.66	48.38	52.94	72.92	22.37	40.38	105.97	71.24	68.62	14.71	84.54	53.24	81.14	103.29	97.31	37.50	57.78	55.94	23.31	76.62	42.06	99.07	17.25	97.37	28.91	17.19	117.59	28.04	95.20	52.26	34.45	27.73	27.47	33.44	75.84	81.09	81.29	12.48	75.10	31.63	87.74	75.77	81.12	56.52	59.73	33.88	42.63	141.27	39.23	87.17	85.17	76.40	21.05	75.51	60.48	37.73	41.35	100.83	39.44	39.44
2020-01-30	13.49	63.57	30.30	44.31	76.57	38.96	85.30	53.25	79.26	75.68	18.76	44.75	18.99	21.01	103.49	37.60	22.40	24.27	67.88	95.38	45.72	23.18	81.16	55.09	102.09	19.24	12.37	66.58	90.22	86.08	82.60	78.71	60.01	75.32	66.39	60.81	30.09	104.34	64.97	102.79	81.45	48.53	53.22	70.45	22.74	41.08	110.69	70.38	67.77	14.52	84.07	53.04	81.20	104.15	96.41	38.41	58.82	56.98	22.99	79.02	41.82	101.43	16.97	98.94	29.08	16.43	119.56	28.55	95.48	53.95	33.47	27.85	27.96	33.51	76.51	81.19	81.04	11.96	75.59	32.63	86.49	78.65	80.11	55.42	58.10	33.46	42.74	147.21	38.22	87.26	84.29	77.60	21.52	76.83	61.98	38.87	40.08	102.48	40.61	39.47
2020-01-31	13.71	64.38	30.08	45.23	75.67	37.64	86.26	53.92	80.22	75.11	18.89	44.15	18.92	20.82	104.76	37.14	22.59	23.87	67.49	96.02	45.83	22.80	81.96	55.97	98.81	18.71	12.76	67.06	88.24	83.18	85.34	75.07	60.50	76.27	64.77	60.96	30.58	102.81	65.09	104.49	82.13	49.20	52.35	67.89	22.61	41.71	110.52	69.62	70.26	14.49	80.81	52.38	79.75	104.82	94.05	38.79	58.58	57.98	23.25	77.57	42.01	104.67	16.72	100.18	29.80	15.66	121.81	27.94	93.00	55.97	32.60	27.98	28.63	33.29	77.03	81.27	81.87	12.14	76.15	32.61	88.09	76.64	78.98	55.29	59.25	32.85	42.30	148.45	39.35	86.95	85.50	76.50	21.17	74.77	60.77	39.26	40.49	101.44	41.34	38.99
